Row 1: Num | ID | Work Item Type | Title | Test Step | Step Action | Step Expected | Area Path
Row 201:  |  |  |  | 6.4 | Click"Connect“  and enter the IW User email address that you want to deploy the Windows Profiles against. If you haven't created IW User or put the user into a group that is used to assign the Profile (policy), do it from Azure portal's "Users and Groups" blade before this step. Click "Next" after entering the account email. |  <NL>  | 
Row 202:  |  |  |  | 6.5 | Repeat Step4 and Step5 one more time to complete the MDM enrollment. First time "Connect" adds the "Connected to Microsoft MDM" icon. Enter the password for the user when prompted. |  <NL>  | 
Row 203:  |  |  |  | 6.6 | Click the "Info" button and click "Sync" button |  <NL>  | 
Row 204:  |  |  |  | 6.7 | Wait 5-10 minutes to allow profile assign to device |  <NL>  | 
Row 205:  |  |  |  | 7 | In the same window that was used at step 6. above, locate the "Advanced Diagnostic Report" situated at the bottom of the page, and click on the "Create report" button.  <NL>  |  <NL>  | 
Row 206:  |  |  |  | 8 | Click the "Export" button in the popup window - this will cause the log files to be exported to the file "c:\users\Public\Documents\MDMDiagnostics\MDMDiagReport.html" <NL>  |  <NL>  | 
Row 207:  |  |  |  | 9 | Double click on the file name, by default it will open with Edge. <NL>  | Scroll down - You should see a section with  the title "Managed policies". You can find ”Devices_PreventUsersFromInstallingPrinterDriversWhenConnectingToSharedPrinters“. <NL> Devices_PreventUsersFromInstallingPrinterDriversWhenConnectingToSharedPrinters Should be 1. <NL>  | 
Row 208:  |  |  |  | 10 | Reopen the profile and changed the settings to "Not Configured" and "Save" the change and "Sync" the Device  <NL>  | Scroll down - You should see a section with  the title "Managed policies". You can't find ”Devices_PreventUsersFromInstallingPrinterDriversWhenConnectingToSharedPrinters“.  | 
Row 209: 9 | 8925745 | Test Case | [Shanghai Vendor][DC][Endpoint Protection][LocalDeviceSecurityOptions][MicrosoftNetworkServer] Digitally sign communications (if client agrees) |  |  |  | Intune\Mgmt\Device Configuration\DCv1
Row 210:  |  |  |  | 1 | Navigate to Create Profile blade on Intune Device Configuration |  | 
Row 211:  |  |  |  | 1.1 | Login to  MEM admin center with your admin account: <NL> DF: https://aka.ms/intunedf <NL> SH: https://aka.ms/IntuneSH <NL> Canary: https://aka.ms/IntuneCanary <NL> PE: https://aka.ms/intune <NL> Fairfax: https://aka.ms/intuneFF <NL> Mooncake: https://aka.ms/intuneMC |  <NL>  | 
Row 212:  |  |  |  | 1.2 | Click the "Device" in the left list column <NL>  |  <NL>  | 
Row 213:  |  |  |  | 1.3 | Click the "configuration profile" feature in "Device" <NL>  |  <NL>  | 
Row 214:  |  |  |  | 1.4 | Click "Create profile", and select Platform : "Windows 10 and later" <NL>  |  <NL>  | 
Row 215:  |  |  |  | 2 | selected the "Endpoint Protection" in Profile and click the "Create" button <NL>  |  <NL>  | 
Row 216:  |  |  |  | 3 | Enter "test1" for "Name" and click the "Next" button <NL>  |  <NL>  | 
Row 217:  |  |  |  | 4 | Selected the "Local Device Security Options"--"Microsoft Network Server" |  <NL>  | 
Row 218:  |  |  |  | 5 | Set the "Digitally sign communications (if client agrees)" to "Enable" |  <NL>  | 
Row 219:  |  |  |  | 6 | Assign the profile to User/Device group and complete the creation of the DC profile |  | 
Row 220:  |  |  |  | 6.1 | Click the "Selected groups to include" in "Included groups" <NL>  |  <NL>  | 
Row 221:  |  |  |  | 6.2 | search your group and select group, and click "Select" button <NL>  |  <NL>  | 
Row 222:  |  |  |  | 6.3 | Click "Next"--"Next"--"Next"--"Create" <NL>  |  <NL>  | 
Row 223:  |  |  |  | 6.4 | the profile will be created successful <NL>  |  <NL>  | 
Row 224:  |  |  |  | 7 | Enroll a windows 10 device to intune and Trigger a manual sync of MDM policies in Windows 10 Device |  | 
Row 225:  |  |  |  | 7.1 | Open the "Settings" App |  <NL>  | 
Row 226:  |  |  |  | 7.2 | Click "Accounts" |  <NL>  | 
Row 227:  |  |  |  | 7.3 | Click "Access work or School" |  <NL>  | 
Row 228:  |  |  |  | 7.4 | Click"Connect“  and enter the IW User email address that you want to deploy the Windows Profiles against. If you haven't created IW User or put the user into a group that is used to assign the Profile (policy), do it from Azure portal's "Users and Groups" blade before this step. Click "Next" after entering the account email. |  <NL>  | 
Row 229:  |  |  |  | 7.5 | Repeat Step4 and Step5 one more time to complete the MDM enrollment. First time "Connect" adds the "Connected to Microsoft MDM" icon. Enter the password for the user when prompted. |  <NL>  | 
Row 230:  |  |  |  | 7.6 | Click the "Info" button and click "Sync" button |  <NL>  | 
Row 231:  |  |  |  | 7.7 | Wait 5-10 minutes to allow profile assign to device |  <NL>  | 
Row 232:  |  |  |  | 8 | check the result in the MDM Diagnostic Information, search for the rows with the Area label "MicrosoftNetworkServer_Digitallysigncommunicationsifclientagrees" under the "Managed policies".  | "MicrosoftNetworkServer_Digitallysigncommunicationsifclientagrees" should be set to "1" as seen in the "Config Source" column <NL>  | 
Row 233:  |  |  |  | 9 | reopen the profile, and change the settings to "Not Configured", save profile and sync the device, recheck the value in MDM Diagnostic <NL>  |  <NL>  | 
Row 234: 10 | 8925754 | Test Case | [Shanghai Vendor][DC][Endpoint Protection][LocalDeviceSecurityOptions][MicrosoftNetworkServer] Digitally sign communications (always) |  |  |  | Intune\Mgmt\Device Configuration\DCv1
Row 235:  |  |  |  | 1 | Navigate to Create Profile blade on Intune Device Configuration |  | 
Row 236:  |  |  |  | 1.1 | Login to  MEM admin center with your admin account: <NL> DF: https://aka.ms/intunedf <NL> SH: https://aka.ms/IntuneSH <NL> Canary: https://aka.ms/IntuneCanary <NL> PE: https://aka.ms/intune <NL> Fairfax: https://aka.ms/intuneFF <NL> Mooncake: https://aka.ms/intuneMC |  <NL>  | 
Row 237:  |  |  |  | 1.2 | Click the "Device" in the left list column <NL>  |  <NL>  | 
Row 238:  |  |  |  | 1.3 | Click the "configuration profile" feature in "Device" <NL>  |  <NL>  | 
Row 239:  |  |  |  | 1.4 | Click "Create profile", and select Platform : "Windows 10 and later" <NL>  |  <NL>  | 
Row 240:  |  |  |  | 2 | selected the "Endpoint Protection" in Profile and click the "Create" button <NL>  |  <NL>  | 
Row 241:  |  |  |  | 3 | Enter "test1" for "Name" and click the "Next" button <NL>  |  <NL>  | 
Row 242:  |  |  |  | 4 | Selected the "Local Device Security Options"--"Microsoft Network Server" |  <NL>  | 
Row 243:  |  |  |  | 5 | Set the "Digitally sign communications (always)" to "Enable" |  <NL>  | 
Row 244:  |  |  |  | 6 | Assign the profile to User/Device group and complete the creation of the DC profile |  | 
Row 245:  |  |  |  | 6.1 | Click the "Selected groups to include" in "Included groups" <NL>  |  <NL>  | 
Row 246:  |  |  |  | 6.2 | search your group and select group, and click "Select" button <NL>  |  <NL>  | 
Row 247:  |  |  |  | 6.3 | Click "Next"--"Next"--"Next"--"Create" <NL>  |  <NL>  | 
Row 248:  |  |  |  | 6.4 | the profile will be created successful <NL>  |  <NL>  | 
Row 249:  |  |  |  | 7 | Enroll a windows 10 device to intune and Trigger a manual sync of MDM policies in Windows 10 Device |  | 
Row 250:  |  |  |  | 7.1 | Open the "Settings" App |  <NL>  | 
Row 251:  |  |  |  | 7.2 | Click "Accounts" |  <NL>  | 
Row 252:  |  |  |  | 7.3 | Click "Access work or School" |  <NL>  | 
Row 253:  |  |  |  | 7.4 | Click"Connect“  and enter the IW User email address that you want to deploy the Windows Profiles against. If you haven't created IW User or put the user into a group that is used to assign the Profile (policy), do it from Azure portal's "Users and Groups" blade before this step. Click "Next" after entering the account email. |  <NL>  | 
Row 254:  |  |  |  | 7.5 | Repeat Step4 and Step5 one more time to complete the MDM enrollment. First time "Connect" adds the "Connected to Microsoft MDM" icon. Enter the password for the user when prompted. |  <NL>  | 
Row 255:  |  |  |  | 7.6 | Click the "Info" button and click "Sync" button |  <NL>  | 
Row 256:  |  |  |  | 7.7 | Wait 5-10 minutes to allow profile assign to device |  <NL>  | 
Row 257:  |  |  |  | 8 | check the result in the MDM Diagnostic Information, search for the rows with the Area label "MicrosoftNetworkServer_Digitallysigncommunicationsalways" under the "Managed policies".  <NL>  | "MicrosoftNetworkServer_Digitallysigncommunicationsalways" should be set to "1" as seen in the "Config Source" column <NL>  | 
Row 258:  |  |  |  | 9 | reopen the profile, and change the settings to "Not Configured", save profile and sync the device, recheck the value in MDM Diagnostic |  <NL>  | 
Row 259:  |  |  |  | 10 |  <NL>  |  <NL>  | 
Row 260: 11 | 8925756 | Test Case | [Shanghai Vendor][DC][Endpoint Protection][LocalDeviceSecurityOptions][MicrosoftNetworkClient] Digitally sign communications (if server agrees) |  |  |  | Intune\Mgmt\Device Configuration\DCv1
Row 261:  |  |  |  | 1 | Navigate to Create Profile blade on Intune Device Configuration |  | 
Row 262:  |  |  |  | 1.1 | Login to  MEM admin center with your admin account: <NL> DF: https://aka.ms/intunedf <NL> SH: https://aka.ms/IntuneSH <NL> Canary: https://aka.ms/IntuneCanary <NL> PE: https://aka.ms/intune <NL> Fairfax: https://aka.ms/intuneFF <NL> Mooncake: https://aka.ms/intuneMC |  <NL>  | 
Row 263:  |  |  |  | 1.2 | Click the "Device" in the left list column <NL>  |  <NL>  | 
Row 264:  |  |  |  | 1.3 | Click the "configuration profile" feature in "Device" <NL>  |  <NL>  | 
Row 265:  |  |  |  | 1.4 | Click "Create profile", and select Platform : "Windows 10 and later" <NL>  |  <NL>  | 
Row 266:  |  |  |  | 2 | selected the "Endpoint Protection" in Profile and click the "Create" button <NL>  |  <NL>  | 
Row 267:  |  |  |  | 3 | Enter "test1" for "Name" and click the "Next" button <NL>  |  <NL>  | 
Row 268:  |  |  |  | 4 | Selected the "Local Device Security Options"--"Microsoft Network Client" |  <NL>  | 
Row 269:  |  |  |  | 5 | Set the "Digitally sign communications (if server agrees)" to "Block" |  <NL>  | 
Row 270:  |  |  |  | 6 | Assign the profile to User/Device group and complete the creation of the DC profile |  | 
Row 271:  |  |  |  | 6.1 | Click the "Selected groups to include" in "Included groups" <NL>  |  <NL>  | 
Row 272:  |  |  |  | 6.2 | search your group and select group, and click "Select" button <NL>  |  <NL>  | 
Row 273:  |  |  |  | 6.3 | Click "Next"--"Next"--"Next"--"Create" <NL>  |  <NL>  | 
Row 274:  |  |  |  | 6.4 | the profile will be created successful <NL>  |  <NL>  | 
Row 275:  |  |  |  | 7 | Enroll a windows 10 device to intune and Trigger a manual sync of MDM policies in Windows 10 Device |  | 
Row 276:  |  |  |  | 7.1 | Open the "Settings" App |  <NL>  | 
Row 277:  |  |  |  | 7.2 | Click "Accounts" |  <NL>  | 
Row 278:  |  |  |  | 7.3 | Click "Access work or School" |  <NL>  | 
Row 279:  |  |  |  | 7.4 | Click"Connect“  and enter the IW User email address that you want to deploy the Windows Profiles against. If you haven't created IW User or put the user into a group that is used to assign the Profile (policy), do it from Azure portal's "Users and Groups" blade before this step. Click "Next" after entering the account email. |  <NL>  | 
Row 280:  |  |  |  | 7.5 | Repeat Step4 and Step5 one more time to complete the MDM enrollment. First time "Connect" adds the "Connected to Microsoft MDM" icon. Enter the password for the user when prompted. |  <NL>  | 
Row 281:  |  |  |  | 7.6 | Click the "Info" button and click "Sync" button |  <NL>  | 
Row 282:  |  |  |  | 7.7 | Wait 5-10 minutes to allow profile assign to device |  <NL>  | 
Row 283:  |  |  |  | 8 | check the result in the MDM Diagnostic Information, search for the rows with the Area label "MicrosoftNetworkClient_Digitallysigncommunicationsifserveragrees" under the "Managed policies".  <NL>  | "MicrosoftNetworkClient_Digitallysigncommunicationsifserveragrees" should be set to "0" as seen in the "Config Source" column <NL>  | 
Row 284:  |  |  |  | 9 | reopen the profile, and change the settings to "Not Configured", save profile and sync the device, recheck the value in MDM Diagnostic <NL>  |  <NL>  | 
Row 285: 12 | 8925758 | Test Case | [Shanghai Vendor][DC][Endpoint Protection][LocalDeviceSecurityOptions][MicrosoftNetworkClient] Send unencrypted password to third-party SMB servers |  |  |  | Intune\Mgmt\Device Configuration\DCv1
Row 286:  |  |  |  | 1 | Navigate to Create Profile blade on Intune Device Configuration |  | 
Row 287:  |  |  |  | 1.1 | Login to  MEM admin center with your admin account: <NL> DF: https://aka.ms/intunedf <NL> SH: https://aka.ms/IntuneSH <NL> Canary: https://aka.ms/IntuneCanary <NL> PE: https://aka.ms/intune <NL> Fairfax: https://aka.ms/intuneFF <NL> Mooncake: https://aka.ms/intuneMC |  <NL>  | 
Row 288:  |  |  |  | 1.2 | Click the "Device" in the left list column <NL>  |  <NL>  | 
Row 289:  |  |  |  | 1.3 | Click the "configuration profile" feature in "Device" <NL>  |  <NL>  | 
Row 290:  |  |  |  | 1.4 | Click "Create profile", and select Platform : "Windows 10 and later" <NL>  |  <NL>  | 
Row 291:  |  |  |  | 2 | selected the "Endpoint Protection" in Profile and click the "Create" button <NL>  |  <NL>  | 
Row 292:  |  |  |  | 3 | Enter "test1" for "Name" and click the "Next" button <NL>  |  <NL>  | 
Row 293:  |  |  |  | 4 | Selected the "Local Device Security Options"--"Microsoft Network Client" |  <NL>  | 
Row 294:  |  |  |  | 5 | Set the "Send unencrypted password to third-party SMB servers" to "Block" |  <NL>  | 
Row 295:  |  |  |  | 6 | Assign the profile to User/Device group and complete the creation of the DC profile |  | 
Row 296:  |  |  |  | 6.1 | Click the "Selected groups to include" in "Included groups" <NL>  |  <NL>  | 
Row 297:  |  |  |  | 6.2 | search your group and select group, and click "Select" button <NL>  |  <NL>  | 
Row 298:  |  |  |  | 6.3 | Click "Next"--"Next"--"Next"--"Create" <NL>  |  <NL>  | 
Row 299:  |  |  |  | 6.4 | the profile will be created successful <NL>  |  <NL>  | 
Row 300:  |  |  |  | 7 | Enroll a windows 10 device to intune and Trigger a manual sync of MDM policies in Windows 10 Device |  | 
Row 301:  |  |  |  | 7.1 | Open the "Settings" App |  <NL>  | 
Row 302:  |  |  |  | 7.2 | Click "Accounts" |  <NL>  | 
Row 303:  |  |  |  | 7.3 | Click "Access work or School" |  <NL>  | 
Row 304:  |  |  |  | 7.4 | Click"Connect“  and enter the IW User email address that you want to deploy the Windows Profiles against. If you haven't created IW User or put the user into a group that is used to assign the Profile (policy), do it from Azure portal's "Users and Groups" blade before this step. Click "Next" after entering the account email. |  <NL>  | 
Row 305:  |  |  |  | 7.5 | Repeat Step4 and Step5 one more time to complete the MDM enrollment. First time "Connect" adds the "Connected to Microsoft MDM" icon. Enter the password for the user when prompted. |  <NL>  | 
Row 306:  |  |  |  | 7.6 | Click the "Info" button and click "Sync" button |  <NL>  | 
Row 307:  |  |  |  | 7.7 | Wait 5-10 minutes to allow profile assign to device |  <NL>  | 
Row 308:  |  |  |  | 8 | check the result in the MDM Diagnostic Information, search for the rows with the Area label "MicrosoftNetworkClient_SendUnencryptedPasswordToThirdPartySMBServers" under the "Managed policies".  <NL>  | "MicrosoftNetworkClient_SendUnencryptedPasswordToThirdPartySMBServers" should be set to "0" as seen in the "Config Source" column <NL>  | 
Row 309:  |  |  |  | 9 | reopen the profile, and change the settings to "Not Configured", save profile and sync the device, recheck the value in MDM Diagnostic <NL>  |  <NL>  | 
Row 310: 13 | 8925759 | Test Case | [Shanghai Vendor][DC][Endpoint Protection][LocalDeviceSecurityOptions][MicrosoftNetworkClient] Digitally sign communications (always) |  |  |  | Intune\Mgmt\Device Configuration\DCv1
Row 311:  |  |  |  | 1 | Navigate to Create Profile blade on Intune Device Configuration |  | 
Row 312:  |  |  |  | 1.1 | Login to  MEM admin center with your admin account: <NL> DF: https://aka.ms/intunedf <NL> SH: https://aka.ms/IntuneSH <NL> Canary: https://aka.ms/IntuneCanary <NL> PE: https://aka.ms/intune <NL> Fairfax: https://aka.ms/intuneFF <NL> Mooncake: https://aka.ms/intuneMC |  <NL>  | 
Row 313:  |  |  |  | 1.2 | Click the "Device" in the left list column <NL>  |  <NL>  | 
Row 314:  |  |  |  | 1.3 | Click the "configuration profile" feature in "Device" <NL>  |  <NL>  | 
Row 315:  |  |  |  | 1.4 | Click "Create profile", and select Platform : "Windows 10 and later" <NL>  |  <NL>  | 
Row 316:  |  |  |  | 2 | selected the "Endpoint Protection" in Profile and click the "Create" button <NL>  |  <NL>  | 
Row 317:  |  |  |  | 3 | Enter "test1" for "Name" and click the "Next" button <NL>  |  <NL>  | 
Row 318:  |  |  |  | 4 | Selected the "Local Device Security Options"--"Microsoft Network Client" |  <NL>  | 
Row 319:  |  |  |  | 5 | Set the "Digitally sign communications (always)" to "Enable" |  <NL>  | 
Row 320:  |  |  |  | 6 | Assign the profile to User/Device group and complete the creation of the DC profile |  | 
Row 321:  |  |  |  | 6.1 | Click the "Selected groups to include" in "Included groups" <NL>  |  <NL>  | 
Row 322:  |  |  |  | 6.2 | search your group and select group, and click "Select" button <NL>  |  <NL>  | 
Row 323:  |  |  |  | 6.3 | Click "Next"--"Next"--"Next"--"Create" <NL>  |  <NL>  | 
Row 324:  |  |  |  | 6.4 | the profile will be created successful <NL>  |  <NL>  | 
Row 325:  |  |  |  | 7 | Enroll a windows 10 device to intune and Trigger a manual sync of MDM policies in Windows 10 Device |  | 
Row 326:  |  |  |  | 7.1 | Open the "Settings" App |  <NL>  | 
Row 327:  |  |  |  | 7.2 | Click "Accounts" |  <NL>  | 
Row 328:  |  |  |  | 7.3 | Click "Access work or School" |  <NL>  | 
Row 329:  |  |  |  | 7.4 | Click"Connect“  and enter the IW User email address that you want to deploy the Windows Profiles against. If you haven't created IW User or put the user into a group that is used to assign the Profile (policy), do it from Azure portal's "Users and Groups" blade before this step. Click "Next" after entering the account email. |  <NL>  | 
Row 330:  |  |  |  | 7.5 | Repeat Step4 and Step5 one more time to complete the MDM enrollment. First time "Connect" adds the "Connected to Microsoft MDM" icon. Enter the password for the user when prompted. |  <NL>  | 
Row 331:  |  |  |  | 7.6 | Click the "Info" button and click "Sync" button |  <NL>  | 
Row 332:  |  |  |  | 7.7 | Wait 5-10 minutes to allow profile assign to device |  <NL>  | 
Row 333:  |  |  |  | 8 | check the result in the MDM Diagnostic Information, search for the rows with the Area label "MicrosoftNetworkClient_DigitallySignCommunicationsAlways" under the "Managed policies".  <NL>  | "MicrosoftNetworkClient_DigitallySignCommunicationsAlways" should be set to "1" as seen in the "Config Source" column <NL>  | 
Row 334:  |  |  |  | 9 | reopen the profile, and change the settings to "Not Configured", save profile and sync the device, recheck the value in MDM Diagnostic <NL>  |  <NL>  | 
Row 335: 14 | 8925770 | Test Case | [Shanghai Vendor][DC][Endpoint Protection][LocalDeviceSecurityOptions][Devices]: Restrict CD-ROM access to local active user |  |  |  | Intune\Mgmt\Device Configuration\DCv1
Row 336:  |  |  |  | 1 | Navigate to Create Profile blade on Intune Device Configuration |  | 
Row 337:  |  |  |  | 1.1 | Login to  MEM admin center with your admin account: <NL> DF: https://aka.ms/intunedf <NL> SH: https://aka.ms/IntuneSH <NL> Canary: https://aka.ms/IntuneCanary <NL> PE: https://aka.ms/intune <NL> Fairfax: https://aka.ms/intuneFF <NL> Mooncake: https://aka.ms/intuneMC |  <NL>  | 
Row 338:  |  |  |  | 1.2 | Click the "Device" in the left list column <NL>  |  <NL>  | 
Row 339:  |  |  |  | 1.3 | Click the "configuration profile" feature in "Device" <NL>  |  <NL>  | 
Row 340:  |  |  |  | 1.4 | Click "Create profile", and select Platform : "Windows 10 and later" <NL>  |  <NL>  | 
Row 341:  |  |  |  | 2 | selected the "Endpoint Protection" in Profile and click the "Create" button <NL>  |  <NL>  | 
Row 342:  |  |  |  | 3 | Enter "test1" for "Name" and click the "Next" button <NL>  |  <NL>  | 
Row 343:  |  |  |  | 4 | selected "Local Device Security Options" -  "Devices"  <NL> Set "Restrict CD-ROM access to local active user" settings to "Enable" and "Next" <NL>  |  <NL>  | 
Row 344:  |  |  |  | 5 | Assign the profile to User/Device group and complete the creation of the DC profile |  | 
Row 345:  |  |  |  | 5.1 | Click the "Selected groups to include" in "Included groups" <NL>  |  <NL>  | 
Row 346:  |  |  |  | 5.2 | search your group and select group, and click "Select" button <NL>  |  <NL>  | 
Row 347:  |  |  |  | 5.3 | Click "Next"--"Next"--"Next"--"Create" <NL>  |  <NL>  | 
Row 348:  |  |  |  | 5.4 | the profile will be created successful <NL>  |  <NL>  | 
Row 349:  |  |  |  | 6 | Enroll a windows 10 device to intune and Trigger a manual sync of MDM policies in Windows 10 Device |  | 
Row 350:  |  |  |  | 6.1 | Open the "Settings" App |  <NL>  | 
Row 351:  |  |  |  | 6.2 | Click "Accounts" |  <NL>  | 
Row 352:  |  |  |  | 6.3 | Click "Access work or School" |  <NL>  | 
Row 353:  |  |  |  | 6.4 | Click"Connect“  and enter the IW User email address that you want to deploy the Windows Profiles against. If you haven't created IW User or put the user into a group that is used to assign the Profile (policy), do it from Azure portal's "Users and Groups" blade before this step. Click "Next" after entering the account email. |  <NL>  | 
Row 354:  |  |  |  | 6.5 | Repeat Step4 and Step5 one more time to complete the MDM enrollment. First time "Connect" adds the "Connected to Microsoft MDM" icon. Enter the password for the user when prompted. |  <NL>  | 
Row 355:  |  |  |  | 6.6 | Click the "Info" button and click "Sync" button |  <NL>  | 
Row 356:  |  |  |  | 6.7 | Wait 5-10 minutes to allow profile assign to device |  <NL>  | 
Row 357:  |  |  |  | 7 | In the same window that was used at step 6. above, locate the "Advanced Diagnostic Report" situated at the bottom of the page, and click on the "Create report" button.  <NL>  |  <NL>  | 
Row 358:  |  |  |  | 8 | Click the "Export" button in the popup window - this will cause the log files to be exported to the file "c:\users\Public\Documents\MDMDiagnostics\MDMDiagReport.html" <NL>  |  <NL>  | 
Row 359:  |  |  |  | 9 | Double click on the file name, by default it will open with Edge. <NL>  | Scroll down - You should see a section with  the title "Managed policies". You can find ”Devices_RestrictCDROMAccessToLocallyLoggedOnUserOnly“. <NL> Devices_RestrictCDROMAccessToLocallyLoggedOnUserOnly Should be 1. <NL>  | 
Row 360:  |  |  |  | 10 | Reopen the profile and changed the settings to "Not Configured" and "Save" the change and "Sync" the Device  <NL>  | Scroll down - You should see a section with  the title "Managed policies". You can't find ”Devices_RestrictCDROMAccessToLocallyLoggedOnUserOnly“.  | 
Row 361: 15 | 8925802 | Test Case | [Shanghai Vendor][DC][Endpoint Protection][LocalDeviceSecurityOptions][Devices]: Format and eject removable media |  |  |  | Intune\Mgmt\Device Configuration\DCv1
Row 362:  |  |  |  | 1 | Navigate to Create Profile blade on Intune Device Configuration |  | 
Row 363:  |  |  |  | 1.1 | Login to  MEM admin center with your admin account: <NL> DF: https://aka.ms/intunedf <NL> SH: https://aka.ms/IntuneSH <NL> Canary: https://aka.ms/IntuneCanary <NL> PE: https://aka.ms/intune <NL> Fairfax: https://aka.ms/intuneFF <NL> Mooncake: https://aka.ms/intuneMC |  <NL>  | 
Row 364:  |  |  |  | 1.2 | Click the "Device" in the left list column <NL>  |  <NL>  | 
Row 365:  |  |  |  | 1.3 | Click the "configuration profile" feature in "Device" <NL>  |  <NL>  | 
Row 366:  |  |  |  | 1.4 | Click "Create profile", and select Platform : "Windows 10 and later" <NL>  |  <NL>  | 
Row 367:  |  |  |  | 2 | selected the "Endpoint Protection" in Profile and click the "Create" button <NL>  |  <NL>  | 
Row 368:  |  |  |  | 3 | Enter "test1" for "Name" and click the "Next" button <NL>  |  <NL>  | 
Row 369:  |  |  |  | 4 | selected "Local Device Security Options" -  "Devices"  <NL> Set "Format and eject removable media" settings to "Administrators" and "Next" <NL>  |  <NL>  | 
Row 370:  |  |  |  | 5 | Assign the profile to User/Device group and complete the creation of the DC profile |  | 
Row 371:  |  |  |  | 5.1 | Click the "Selected groups to include" in "Included groups" <NL>  |  <NL>  | 
Row 372:  |  |  |  | 5.2 | search your group and select group, and click "Select" button <NL>  |  <NL>  | 
Row 373:  |  |  |  | 5.3 | Click "Next"--"Next"--"Next"--"Create" <NL>  |  <NL>  | 
Row 374:  |  |  |  | 5.4 | the profile will be created successful <NL>  |  <NL>  | 
Row 375:  |  |  |  | 6 | Enroll a windows 10 device to intune and Trigger a manual sync of MDM policies in Windows 10 Device |  | 
Row 376:  |  |  |  | 6.1 | Open the "Settings" App |  <NL>  | 
Row 377:  |  |  |  | 6.2 | Click "Accounts" |  <NL>  | 
Row 378:  |  |  |  | 6.3 | Click "Access work or School" |  <NL>  | 
Row 379:  |  |  |  | 6.4 | Click"Connect“  and enter the IW User email address that you want to deploy the Windows Profiles against. If you haven't created IW User or put the user into a group that is used to assign the Profile (policy), do it from Azure portal's "Users and Groups" blade before this step. Click "Next" after entering the account email. |  <NL>  | 
Row 380:  |  |  |  | 6.5 | Repeat Step4 and Step5 one more time to complete the MDM enrollment. First time "Connect" adds the "Connected to Microsoft MDM" icon. Enter the password for the user when prompted. |  <NL>  | 
Row 381:  |  |  |  | 6.6 | Click the "Info" button and click "Sync" button |  <NL>  | 
Row 382:  |  |  |  | 6.7 | Wait 5-10 minutes to allow profile assign to device |  <NL>  | 
Row 383:  |  |  |  | 7 | In the same window that was used at step 6. above, locate the "Advanced Diagnostic Report" situated at the bottom of the page, and click on the "Create report" button.  <NL>  |  <NL>  | 
Row 384:  |  |  |  | 8 | Click the "Export" button in the popup window - this will cause the log files to be exported to the file "c:\users\Public\Documents\MDMDiagnostics\MDMDiagReport.html" <NL>  |  <NL>  | 
Row 385:  |  |  |  | 9 | Double click on the file name, by default it will open with Edge. <NL>  | Scroll down - You should see a section with  the title "Managed policies". You can find ”Devices_AllowedToFormatAndEjectRemovableMedia“. <NL> Devices_AllowedToFormatAndEjectRemovableMedia Should be 0. <NL>  | 
Row 386:  |  |  |  | 10 | Reopen the profile and changed the settings to "Administrators and Power Users" and "Save" the change and "Sync" the Device  <NL>  | Scroll down - You should see a section with  the title "Managed policies". You can find ”Devices_AllowedToFormatAndEjectRemovableMedia“. <NL> Devices_AllowedToFormatAndEjectRemovableMedia Should be 1. | 
Row 387:  |  |  |  | 11 | Reopen the profile and changed the settings to "Administrators and Interactive Users" and "Save" the change and "Sync" the Device  <NL>  | Scroll down - You should see a section with  the title "Managed policies". You can find ”Devices_AllowedToFormatAndEjectRemovableMedia“. <NL> Devices_AllowedToFormatAndEjectRemovableMedia Should be 2. | 
Row 388:  |  |  |  | 12 | Reopen the profile and changed the settings to "Not Configured" and "Save" the change and "Sync" the Device  <NL>  | Scroll down - You should see a section with  the title "Managed policies". You can't find ”Devices_AllowedToFormatAndEjectRemovableMedia“.  | 
Row 389: 16 | 8925871 | Test Case | [Shanghai Vendor][DC][Endpoint Protection][LocalDeviceSecurityOptions][Interactive Logon]: Minutes of lock screen inactivity until screen saver activates |  |  |  | Intune\Mgmt\Device Configuration\DCv1
Row 390:  |  |  |  | 1 | Navigate to Create Profile blade on Intune Device Configuration |  | 
Row 391:  |  |  |  | 1.1 | Login to  MEM admin center with your admin account: <NL> DF: https://aka.ms/intunedf <NL> SH: https://aka.ms/IntuneSH <NL> Canary: https://aka.ms/IntuneCanary <NL> PE: https://aka.ms/intune <NL> Fairfax: https://aka.ms/intuneFF <NL> Mooncake: https://aka.ms/intuneMC |  <NL>  | 
Row 392:  |  |  |  | 1.2 | Click the "Device" in the left list column <NL>  |  <NL>  | 
Row 393:  |  |  |  | 1.3 | Click the "configuration profile" feature in "Device" <NL>  |  <NL>  | 
Row 394:  |  |  |  | 1.4 | Click "Create profile", and select Platform : "Windows 10 and later" <NL>  |  <NL>  | 
Row 395:  |  |  |  | 2 | selected the "Endpoint Protection" in Profile and click the "Create" button <NL>  |  <NL>  | 
Row 396:  |  |  |  | 3 | Enter "test1" for "Name" and click the "Next" button <NL>  |  <NL>  | 
Row 397:  |  |  |  | 4 | selected "Local Device Security Options" -  "Interactive Logon"  <NL> Set "Minutes of lock screen inactivity until screen saver activates" settings to "50" and "Next" <NL>  |  <NL>  | 
Row 398:  |  |  |  | 5 | Assign the profile to User/Device group and complete the creation of the DC profile |  | 
Row 399:  |  |  |  | 5.1 | Click the "Selected groups to include" in "Included groups" <NL>  |  <NL>  | 
